order_id,customer_id,order_date,status,shipping_cost,discount,total_amount
76,168,2025-02-05 18:02:16,shipped,5.0,11.92,1115.53
77,114,2025-01-04 22:33:38,delivered,7.74,3.01,785.71
78,23,2025-10-12 03:12:30,shipped,5.82,9.19,1306.04
79,37,2025-01-27 21:38:32,delivered,5.06,16.25,657.96
80,106,2025-08-28 14:14:40,delivered,11.87,2.17,529.78
81,187,2025-05-30 11:26:12,delivered,8.43,19.78,417.9
82,142,2025-08-22 17:43:02,delivered,9.85,19.47,1402.15
83,192,2025-06-02 11:23:02,delivered,5.43,22.45,248.44
84,128,2025-09-06 03:21:30,delivered,9.22,24.44,1091.24
85,140,2025-09-23 13:28:52,delivered,8.76,24.68,307.54
86,68,2025-03-26 02:52:11,delivered,5.47,19.73,851.31
87,22,2025-09-07 02:14:24,delivered,9.92,6.94,232.41
88,101,2025-08-17 01:59:25,delivered,11.67,17.03,475.48
89,62,2025-01-23 19:43:21,delivered,12.39,2.9,1552.62
90,31,2025-01-06 06:02:45,shipped,10.6,4.1,292.39
91,192,2025-10-31 16:36:11,shipped,10.85,2.95,316.61
92,17,2025-04-13 10:52:06,shipped,9.6,1.93,406.32
93,95,2025-03-03 10:14:07,delivered,5.81,14.35,512.93
94,12,2025-07-03 13:09:52,delivered,12.35,4.47,372.8
95,108,2025-03-29 12:38:03,delivered,8.32,18.01,485.1
96,14,2025-03-11 23:36:37,delivered,9.12,1.15,705.78
97,142,2025-06-27 17:10:58,delivered,6.6,14.1,1476.85
98,127,2025-10-28 09:16:39,shipped,10.85,13.66,941.95
99,60,2025-07-30 15:34:01,delivered,11.71,21.93,1763.73
100,79,2025-02-10 16:52:30,delivered,12.85,10.5,646.1
101,12,2025-12-25 02:53:59,delivered,11.75,10.33,1236.3
102,35,2025-09-05 19:16:50,shipped,5.59,14.2,1132.81
103,101,2025-09-30 11:14:09,shipped,7.6,11.32,438.3
104,28,2025-03-02 16:31:52,delivered,8.59,7.85,473.73
105,79,2025-06-30 06:42:11,delivered,5.95,3.94,635.07
106,24,2025-10-04 12:28:02,delivered,7.84,12.84,1456.09
107,141,2025-04-08 08:47:43,delivered,5.81,19.85,279.7
108,51,2025-11-17 05:11:33,delivered,10.48,23.44,771.71
109,6,2025-01-26 08:55:22,delivered,10.16,20.23,128.13
110,13,2025-03-07 13:46:22,processing,8.46,18.11,649.9
111,55,2025-12-20 02:00:32,delivered,7.23,22.09,381.61
112,166,2025-04-25 22:34:46,delivered,12.05,11.98,412.17
113,52,2025-09-07 21:57:20,shipped,9.2,15.77,1006.52
114,145,2025-07-15 10:38:40,delivered,7.15,0.65,1576.15
115,197,2025-08-16 03:10:16,processing,12.78,2.5,1698.09
116,91,2025-12-30 12:45:07,shipped,11.75,4.4,1238.1
117,91,2025-08-09 18:53:39,delivered,9.49,4.71,608.37
118,15,2025-04-01 16:12:24,delivered,5.15,11.95,661.77
119,83,2025-01-24 11:06:06,delivered,9.68,22.93,263.43
120,181,2025-09-15 11:35:16,delivered,5.8,7.54,1075.76
121,125,2025-09-10 10:47:55,delivered,10.65,14.05,1243.88
122,177,2025-04-25 17:05:59,delivered,10.82,23.72,1347.47
123,57,2025-09-06 17:56:24,delivered,12.48,3.52,1247.11
124,172,2025-09-06 12:52:07,shipped,7.68,0.28,703.97
125,66,2025-11-02 23:33:29,delivered,5.0,9.65,1202.01
126,26,2025-11-19 05:02:27,delivered,11.9,16.27,785.98
127,67,2025-02-11 00:06:29,delivered,6.35,9.39,1112.5
128,8,2025-06-17 20:13:29,processing,6.31,22.24,164.67
129,49,2025-06-09 06:45:53,delivered,10.77,18.25,524.97
130,101,2025-08-11 09:16:51,delivered,8.92,1.36,450.22
131,161,2025-08-22 10:24:51,delivered,5.77,5.17,1139.76
132,170,2025-04-14 06:01:12,delivered,9.34,4.62,1007.95
133,120,2025-04-13 15:04:24,delivered,7.14,1.54,1168.25
134,142,2025-01-25 00:24:34,shipped,11.54,10.47,1055.06
135,183,2025-01-14 19:41:34,delivered,12.19,20.01,837.53
136,50,2025-02-19 08:08:19,delivered,5.62,17.08,911.26
137,82,2025-12-21 01:18:47,shipped,11.45,2.18,1330.7
138,160,2025-08-17 12:36:21,delivered,8.35,10.36,505.74
139,28,2025-08-07 20:35:33,shipped,11.28,21.69,1056.2
140,156,2025-07-04 01:06:50,delivered,7.19,3.6,2148.89
141,13,2025-10-17 22:53:31,delivered,7.14,9.31,1521.87
142,26,2025-12-04 18:44:06,delivered,7.39,18.59,1702.81
143,49,2025-06-21 21:05:49,delivered,11.58,18.52,657.08
144,104,2025-02-23 00:20:52,shipped,9.18,14.22,352.92
145,9,2025-06-27 14:24:35,delivered,7.87,4.98,843.27
146,8,2025-04-05 07:01:35,delivered,9.74,4.44,560.63
147,192,2025-11-20 00:16:17,delivered,7.27,9.66,341.97
148,166,2025-03-29 18:11:46,delivered,7.14,10.24,949.59
149,122,2025-12-21 07:56:22,delivered,6.38,20.02,697.2
150,182,2025-09-07 22:46:26,delivered,12.15,21.29,721.29
151,160,2025-06-04 13:43:47,delivered,5.05,24.99,996.48
152,176,2025-02-12 07:36:26,delivered,7.68,6.91,1496.28
153,49,2025-02-28 13:26:32,delivered,6.91,1.42,1606.18
154,128,2025-04-26 03:14:05,delivered,8.34,9.71,1015.85
155,88,2025-10-10 11:56:08,shipped,10.48,15.96,413.91
156,143,2025-03-12 16:18:30,delivered,8.76,18.52,1401.24
157,91,2025-03-29 01:34:01,shipped,7.45,19.7,635.24
158,121,2025-01-22 04:18:19,shipped,9.66,23.61,444.13
159,175,2025-05-29 13:24:53,delivered,8.29,21.77,751.92
160,146,2025-12-14 01:55:10,processing,8.65,7.91,1660.71
161,163,2025-01-23 20:43:33,delivered,7.18,19.03,548.58
162,196,2025-10-31 03:49:10,delivered,9.91,15.84,523.32
163,52,2025-10-12 02:14:10,delivered,5.1,8.06,1960.25
164,178,2025-12-07 22:05:38,delivered,6.02,9.59,1031.14
165,134,2025-08-20 22:34:13,delivered,8.46,17.17,350.58
166,43,2025-12-19 12:52:00,processing,8.22,5.71,1424.73
167,94,2025-10-04 12:01:35,delivered,5.29,21.91,1094.19
168,170,2025-02-12 07:41:25,delivered,5.15,17.24,431.4
169,180,2025-03-01 19:14:52,delivered,10.48,0.23,786.99
170,180,2025-02-23 14:27:24,delivered,12.18,12.79,675.55
171,200,2025-04-13 11:16:51,shipped,12.77,8.95,1083.37
172,177,2025-12-29 17:20:57,delivered,6.87,0.32,437.08
173,39,2025-02-05 07:37:52,shipped,5.59,18.09,1079.26
174,13,2025-02-09 02:17:11,shipped,11.98,21.31,1273.49
175,195,2025-12-13 02:07:22,delivered,11.81,16.58,431.08
176,69,2025-12-08 11:59:07,shipped,7.97,8.57,1000.3
177,177,2025-11-27 16:50:01,delivered,8.36,22.15,983.02
178,16,2025-11-25 05:54:39,delivered,8.32,14.77,1872.59
179,176,2025-12-09 01:43:50,shipped,12.78,3.27,423.52
180,168,2025-05-03 08:54:35,delivered,11.94,13.12,1418.71
181,177,2025-09-30 09:52:50,delivered,8.45,18.17,1027.93
182,143,2025-12-13 18:37:09,processing,5.43,16.08,98.72
183,20,2025-10-20 03:50:06,delivered,6.92,24.25,744.55
184,97,2025-06-06 22:48:50,shipped,5.62,11.1,1247.72
185,5,2025-02-10 04:42:18,delivered,5.28,13.73,989.81
186,131,2025-08-07 17:19:10,delivered,10.36,23.76,1285.52
187,154,2025-07-04 01:55:31,shipped,7.9,11.31,387.24
188,88,2025-05-19 06:08:06,shipped,12.71,7.3,745.77
189,191,2025-10-08 13:25:05,delivered,7.02,4.9,394.63
190,184,2025-05-12 13:46:08,delivered,8.31,23.17,1258.82
191,35,2025-07-14 01:25:11,delivered,10.88,13.83,806.1
192,45,2025-10-12 00:42:13,shipped,5.82,16.44,1128.88
193,102,2025-05-14 11:40:32,processing,8.61,3.33,1527.84
194,141,2025-12-01 14:22:32,delivered,10.88,13.84,350.08
195,75,2025-09-24 23:40:52,delivered,10.37,24.53,1263.06
196,195,2025-05-18 03:05:39,delivered,9.65,23.57,2051.01
197,28,2025-01-11 03:33:12,delivered,5.41,1.42,528.89
198,16,2025-09-26 12:48:37,shipped,6.62,13.53,1151.99
199,58,2025-10-16 15:47:17,delivered,8.1,12.77,1110.36
200,81,2025-08-03 18:10:27,delivered,10.94,5.08,1240.2
201,194,2025-08-17 20:08:55,delivered,9.82,19.4,719.49
202,20,2025-03-14 22:44:52,processing,10.87,2.98,610.72
203,34,2025-03-04 19:57:56,delivered,7.03,8.26,1904.77
204,78,2025-07-10 20:15:58,shipped,9.39,1.82,1594.3
205,107,2025-07-31 05:52:26,delivered,5.73,5.53,394.54
206,76,2025-03-27 04:03:27,processing,9.94,11.87,1185.91
207,165,2025-08-27 16:06:31,processing,6.94,1.0,757.2
208,73,2025-01-10 22:16:26,processing,11.57,9.37,1543.14
209,22,2025-02-07 14:22:43,delivered,12.64,13.45,642.57
210,162,2025-10-28 18:18:33,delivered,10.47,20.89,880.61
211,166,2025-11-14 12:42:08,processing,10.97,3.84,349.61
212,46,2025-11-05 18:37:06,delivered,5.55,20.54,1032.83
213,81,2025-01-07 21:26:06,delivered,5.94,0.15,1377.38
214,92,2025-12-27 18:01:55,delivered,7.31,17.15,1250.23
215,122,2025-03-03 01:02:25,delivered,6.08,9.77,2555.74
216,3,2025-08-04 07:13:09,shipped,6.12,1.04,807.4
217,190,2025-12-18 05:39:45,shipped,6.68,22.64,1501.52
218,47,2025-09-18 21:58:02,shipped,11.81,21.28,1175.17
219,26,2025-03-19 00:03:55,shipped,8.89,8.27,409.56
220,73,2025-08-29 22:18:20,delivered,6.54,12.15,739.17
221,145,2025-08-09 11:32:08,delivered,7.52,10.71,633.08
222,190,2025-09-07 05:02:53,delivered,11.71,3.36,1081.02
223,28,2025-03-10 14:17:47,delivered,5.65,7.02,818.42
224,161,2025-01-31 00:40:51,shipped,12.13,21.24,1212.69
225,67,2025-07-31 09:30:04,shipped,9.31,16.35,536.17
226,188,2025-11-30 05:20:56,delivered,8.71,12.76,630.98
227,176,2025-03-06 17:46:26,shipped,6.11,3.98,1467.77
228,57,2025-10-24 01:26:13,delivered,5.49,9.24,390.18
229,100,2025-07-02 17:40:51,processing,12.04,1.0,1243.16
230,149,2025-07-31 17:42:37,delivered,8.0,9.46,969.85
231,91,2025-11-14 17:11:55,shipped,8.88,12.05,808.81
232,165,2025-04-20 09:20:03,delivered,6.49,9.06,975.23
233,173,2025-07-06 06:52:33,delivered,9.72,16.18,1046.09
234,42,2025-02-22 15:43:08,delivered,5.3,14.31,344.26
235,104,2025-08-22 02:25:01,processing,10.09,21.96,1082.76
236,44,2025-03-27 12:37:08,shipped,9.8,19.87,959.39
237,43,2025-10-09 13:54:36,delivered,12.37,14.91,337.45
238,28,2025-01-07 18:22:29,delivered,11.87,12.61,1057.16
239,154,2025-01-16 11:50:49,shipped,9.24,18.81,568.11
240,139,2025-11-18 17:03:43,delivered,12.49,16.96,668.33
241,110,2025-03-31 10:58:00,processing,8.85,19.22,1460.5
242,109,2025-02-22 07:52:51,delivered,11.12,22.75,737.12
243,66,2025-03-15 17:48:12,delivered,10.94,0.18,1224.31
244,105,2025-05-22 00:35:57,delivered,8.4,14.63,946.26
245,175,2025-06-04 16:32:28,shipped,8.3,19.59,755.1
246,79,2025-08-13 16:05:56,delivered,10.63,18.39,690.35
247,131,2025-06-05 21:29:53,shipped,11.4,15.35,362.02
248,121,2025-12-26 21:39:26,delivered,5.7,6.58,1149.64
249,158,2025-09-13 03:59:47,delivered,10.68,14.94,441.89
250,52,2025-11-27 15:51:53,delivered,11.42,7.15,629.8
251,60,2025-08-28 05:59:10,delivered,5.28,5.98,358.26
252,91,2025-09-18 09:42:09,delivered,9.68,12.94,966.69
253,90,2025-05-16 06:42:09,processing,7.2,15.16,853.29
254,67,2025-03-10 07:26:32,delivered,5.84,1.81,689.69
255,65,2025-09-27 22:20:13,delivered,8.01,12.09,652.28
256,118,2025-12-15 12:12:27,delivered,5.21,2.91,504.89
257,180,2025-03-31 15:06:15,shipped,8.29,8.83,1063.15
258,192,2025-11-16 04:58:14,delivered,9.43,4.46,515.35
259,175,2025-12-28 14:36:26,processing,8.98,4.99,605.89
260,40,2025-10-30 20:13:58,delivered,12.35,16.9,1619.11
261,159,2025-05-03 19:53:55,delivered,12.87,22.42,1211.86
262,57,2025-10-19 16:05:07,delivered,5.42,19.98,705.42
263,199,2025-03-10 05:15:26,delivered,5.95,12.96,1610.18
264,26,2025-05-07 17:17:06,delivered,11.88,4.68,1132.12
265,48,2025-07-14 00:52:24,delivered,8.34,18.8,1058.38
266,148,2025-09-24 18:05:40,delivered,5.79,6.75,306.89
267,38,2025-11-08 00:53:22,processing,6.19,20.14,620.69
268,133,2025-07-27 17:04:42,shipped,11.27,7.5,682.3
269,66,2025-07-05 09:40:09,shipped,5.76,18.61,344.43
270,32,2025-05-17 16:24:01,shipped,12.69,4.97,2258.61
271,131,2025-07-09 15:46:15,shipped,8.57,1.96,1269.8
272,162,2025-08-27 03:08:38,delivered,11.78,1.78,608.18
273,168,2025-04-24 11:38:16,shipped,9.83,9.89,1575.52
274,106,2025-03-07 07:31:04,delivered,5.17,18.19,625.43
275,25,2025-01-26 02:35:17,processing,8.78,1.35,1055.95
276,40,2025-02-03 01:50:16,delivered,12.07,7.73,918.05
277,33,2025-02-21 07:35:28,delivered,6.35,0.88,1139.4
278,114,2025-02-22 19:21:43,processing,10.57,4.43,2071.94
279,164,2025-07-27 15:13:43,delivered,7.77,13.49,409.1
280,67,2025-03-02 19:23:33,delivered,4.99,20.38,620.2
281,3,2025-09-25 10:28:50,processing,12.57,11.93,825.03
282,60,2025-11-06 18:24:37,delivered,7.98,10.29,1684.67
283,97,2025-03-28 00:04:13,delivered,8.37,5.99,2386.09
284,106,2025-03-15 08:17:34,shipped,6.45,7.24,1737.19
285,83,2025-01-08 20:46:41,delivered,12.75,0.55,770.93
286,113,2025-10-10 17:07:44,delivered,5.71,0.37,652.88
287,96,2025-06-30 09:51:08,delivered,5.24,2.01,524.07
288,140,2025-07-02 22:05:08,delivered,12.16,6.25,732.26
289,198,2025-06-22 08:41:42,delivered,12.95,4.98,835.22
290,80,2025-12-30 22:09:30,delivered,10.02,1.05,570.4
291,14,2025-12-02 17:52:22,delivered,12.78,5.9,881.9
292,102,2025-11-03 19:21:11,delivered,12.74,14.53,908.99
293,128,2025-02-05 19:55:27,delivered,7.7,24.24,1334.72
294,125,2025-04-01 16:41:05,delivered,9.46,16.12,1490.17
295,92,2025-10-09 15:53:22,delivered,12.18,12.13,859.7
296,146,2025-03-14 19:29:13,delivered,7.58,11.71,799.86
297,139,2025-05-23 21:44:18,delivered,11.2,12.65,1794.78
298,17,2025-09-13 23:42:07,processing,11.54,4.75,1424.34
299,165,2025-05-06 09:28:54,delivered,9.18,1.67,372.95
300,125,2025-03-16 17:59:47,delivered,9.56,20.91,732.56
301,57,2025-08-24 15:53:49,shipped,5.09,23.03,1062.97
302,107,2025-11-16 13:50:32,delivered,10.66,20.59,690.77
303,56,2025-07-22 01:57:13,delivered,10.79,13.29,897.31
304,146,2025-09-01 04:27:06,processing,9.46,13.95,1246.7
305,171,2025-06-16 04:37:38,shipped,6.32,4.51,954.18
306,114,2025-12-29 21:02:12,delivered,7.51,24.79,1224.71
307,83,2025-08-25 14:49:25,delivered,9.36,9.38,1250.62
308,9,2025-04-21 19:33:57,delivered,9.13,24.84,1040.33
309,198,2025-11-16 13:02:07,processing,11.57,22.98,959.51
310,36,2025-04-14 05:52:07,delivered,9.65,5.82,1340.21
311,20,2025-10-09 08:15:33,delivered,8.85,12.21,1029.02
312,148,2025-05-29 12:16:03,delivered,5.44,19.27,780.1
313,155,2025-12-27 23:40:29,delivered,11.21,9.56,948.54
314,84,2025-07-15 10:43:20,delivered,6.22,16.84,881.3
315,57,2025-06-18 01:55:56,delivered,8.14,3.3,282.34
316,141,2025-06-05 08:43:57,delivered,8.18,10.86,1782.8
317,167,2025-08-11 05:11:16,delivered,9.92,18.39,569.25
318,83,2025-09-24 06:13:13,processing,5.71,16.79,1134.81
319,168,2025-01-10 17:37:26,shipped,6.34,8.74,563.82
320,176,2025-05-26 12:15:44,delivered,10.82,2.15,1489.51
321,29,2025-04-29 19:54:22,delivered,5.17,5.23,584.15
322,187,2025-02-25 05:27:12,delivered,10.34,9.42,545.23
323,159,2025-04-16 16:31:35,delivered,10.23,0.21,499.23
324,167,2025-05-31 10:39:27,delivered,8.04,24.42,493.65
325,23,2025-03-14 17:32:09,delivered,12.72,14.02,1233.36
326,191,2025-03-03 07:23:42,delivered,10.46,8.88,647.34
327,100,2025-12-13 03:08:56,processing,12.91,23.6,1586.93
328,23,2025-10-11 19:03:53,delivered,12.67,15.31,1529.44
329,155,2025-05-09 05:09:22,delivered,6.04,16.31,2128.12
330,35,2025-06-17 08:29:23,processing,12.8,3.63,895.33
331,82,2025-11-23 08:55:00,shipped,10.81,19.14,1513.45
332,71,2025-03-01 08:20:32,shipped,5.84,4.62,1051.97
333,60,2025-09-25 06:49:34,delivered,5.63,19.5,573.39
334,167,2025-05-26 13:33:15,delivered,8.09,11.85,715.33
335,196,2025-01-07 03:56:34,processing,12.59,5.56,653.51
336,177,2025-05-07 12:14:48,shipped,12.09,10.69,1170.62
337,81,2025-06-03 09:45:03,delivered,10.93,14.85,738.03
338,63,2025-07-21 18:39:32,delivered,12.86,0.98,550.64
339,113,2025-06-04 22:00:02,shipped,11.18,7.15,476.96
340,177,2025-07-21 02:30:22,processing,8.7,16.15,81.89
341,200,2025-08-16 16:46:05,processing,10.56,3.38,713.49
342,183,2025-12-15 05:24:49,delivered,8.63,6.25,1393.06
343,116,2025-09-04 13:58:59,delivered,9.18,9.6,294.19
344,145,2025-12-05 17:09:17,delivered,6.19,21.72,329.03
345,79,2025-05-01 12:55:10,shipped,12.68,7.22,285.21
346,160,2025-10-25 14:00:21,delivered,8.66,21.39,1687.38
347,117,2025-06-09 14:53:16,delivered,9.8,0.16,622.78
348,15,2025-09-12 00:58:54,delivered,6.15,0.81,652.21
349,42,2025-09-19 08:20:14,delivered,10.28,17.5,994.42
350,197,2025-04-27 13:37:36,delivered,12.17,20.51,461.78
351,178,2025-12-01 02:15:45,delivered,9.21,13.12,1191.65
352,23,2025-07-08 04:03:56,shipped,9.83,19.7,1414.8
353,91,2025-12-27 09:14:54,delivered,9.49,12.99,1305.61
354,31,2025-01-10 15:34:23,delivered,11.36,18.44,265.81
355,86,2025-05-17 02:58:28,delivered,10.09,0.28,666.7
356,79,2025-04-27 22:50:58,delivered,7.58,0.15,882.91
357,50,2025-05-09 16:37:17,shipped,12.37,11.98,1432.27
358,118,2025-12-13 18:35:10,shipped,12.16,11.56,1136.26
359,174,2025-05-03 20:41:58,delivered,5.14,14.43,1028.57
360,97,2025-09-01 15:30:15,delivered,6.32,15.14,650.89
361,81,2025-10-04 00:11:18,delivered,8.3,12.43,255.24
362,135,2025-04-28 17:48:38,delivered,7.98,0.93,383.48
363,124,2025-12-18 18:47:57,delivered,6.51,23.09,1736.88
364,34,2025-03-22 00:28:56,shipped,8.66,17.84,1566.89
365,120,2025-12-12 15:48:47,delivered,9.15,16.47,816.81
366,83,2025-03-20 05:18:46,delivered,7.2,7.98,588.4
367,30,2025-01-07 06:12:10,processing,9.47,2.56,1097.04
368,63,2025-03-08 20:23:54,delivered,9.9,8.47,826.87
369,28,2025-05-30 07:24:28,delivered,8.4,4.47,1339.93
370,86,2025-11-14 19:06:41,delivered,11.06,20.23,887.07
371,34,2025-02-06 10:02:29,shipped,12.35,11.71,1339.14
372,60,2025-03-29 05:54:55,delivered,12.16,6.45,1264.29
373,117,2025-07-09 15:53:31,delivered,8.79,8.79,822.61
374,33,2025-07-17 14:26:02,delivered,11.53,19.92,1216.22
375,103,2025-08-18 16:11:38,delivered,9.96,13.7,1112.35
376,111,2025-11-01 22:20:09,processing,9.53,8.56,1537.84
377,125,2025-02-14 17:33:58,delivered,8.69,13.88,902.71
378,176,2025-11-13 11:39:06,delivered,11.55,8.19,993.62
379,194,2025-02-27 07:34:45,delivered,8.61,7.29,770.12
380,174,2025-04-29 14:36:46,processing,12.48,17.94,1543.49
381,33,2025-11-28 09:55:27,delivered,7.94,13.72,999.12
382,29,2025-12-01 19:24:42,delivered,5.24,10.79,1060.43
383,140,2025-03-24 08:40:35,delivered,8.79,4.71,935.47
384,35,2025-01-05 20:08:43,delivered,5.12,18.03,1148.66
385,107,2025-12-01 09:12:17,delivered,11.3,15.11,1857.05
386,116,2025-05-30 17:48:03,delivered,6.48,15.11,1775.49
387,148,2025-05-23 20:24:30,delivered,5.29,12.08,743.04
388,187,2025-10-12 08:08:47,delivered,11.86,18.76,587.42
389,63,2025-07-03 19:34:04,delivered,10.3,16.72,1621.17
390,200,2025-01-05 12:30:30,delivered,9.09,11.73,1169.44
391,153,2025-10-19 09:08:59,delivered,11.27,6.51,1299.25
392,160,2025-01-11 22:26:11,delivered,5.65,12.64,743.41
393,4,2025-10-16 06:37:14,delivered,6.39,14.79,437.85
394,67,2025-11-01 05:41:12,shipped,8.87,19.98,568.33
395,40,2025-11-22 15:07:49,delivered,12.94,19.26,645.94
396,43,2025-03-24 05:19:38,delivered,11.72,1.36,340.39
397,122,2025-04-28 08:56:42,delivered,12.58,23.06,671.25
398,122,2025-04-13 07:50:37,delivered,11.95,0.3,1439.05
399,25,2025-12-23 17:41:49,delivered,7.82,21.11,1591.43
400,119,2025-10-28 14:17:23,delivered,6.92,16.8,597.2
401,47,2025-05-02 23:53:11,delivered,10.37,20.79,638.98
402,176,2025-06-23 12:28:57,delivered,10.79,6.3,290.33
403,153,2025-09-13 08:00:25,shipped,6.72,14.98,173.28
404,34,2025-05-27 08:11:11,delivered,12.19,14.15,233.29
405,76,2025-07-01 16:20:29,delivered,5.6,11.34,1062.58
406,42,2025-10-31 12:56:35,delivered,11.21,9.57,781.17
407,52,2025-08-26 08:25:33,delivered,10.15,2.71,912.52
408,67,2025-02-10 10:42:20,delivered,5.55,18.19,1333.68
409,10,2025-09-16 10:34:31,delivered,6.2,8.25,858.98
410,112,2025-06-07 04:44:22,shipped,11.24,19.63,1877.52
411,92,2025-05-10 19:53:00,delivered,8.19,15.81,1221.44
412,52,2025-03-10 22:12:06,delivered,12.73,16.52,876.3
413,125,2025-02-03 06:58:32,shipped,8.49,4.74,939.18
414,62,2025-07-10 07:58:40,delivered,11.33,16.09,737.2
415,87,2025-11-03 06:37:41,shipped,8.23,5.29,2026.76
416,60,2025-12-26 11:54:29,delivered,10.87,12.22,293.22
417,180,2025-09-10 07:07:39,delivered,6.37,1.25,727.07
418,28,2025-02-14 16:13:54,delivered,11.38,5.51,706.28
