product_id,category_id,supplier_id,product_name,brand,cost_price,selling_price,stock,is_active
70,5,2,Advanced Keyboard,Brand 22,85.89,143.89,73,True
71,20,9,Advanced Vacuum,Brand 3,11.57,15.95,170,True
72,17,8,Smart Set,Brand 33,25.27,60.92,163,True
73,13,10,Essential Chair,Brand 38,53.77,122.42,272,True
74,19,5,Eco Headphones,Brand 24,53.03,71.19,213,False
75,10,1,Ultra Camera,Brand 17,145.23,322.09,397,False
76,19,4,Essential Speaker,Brand 38,74.67,140.49,369,False
77,13,3,Pro Mat,Brand 3,88.02,185.78,97,True
78,15,6,Advanced Backpack,Brand 27,105.12,182.22,396,False
79,16,1,Essential Backpack,Brand 34,35.06,56.89,339,True
80,17,7,Deluxe Shoes,Brand 30,137.26,225.8,181,True
81,20,8,Compact Mat,Brand 18,85.92,128.22,498,True
82,10,4,Essential Camera,Brand 21,74.57,143.82,478,True
83,10,2,Ultra Brush,Brand 25,134.89,231.05,176,True
84,10,1,Premium Lamp,Brand 23,138.98,285.29,382,True
85,7,4,Multi Mug,Brand 36,105.94,146.03,315,False
86,8,4,Wireless Vacuum,Brand 15,97.5,123.65,211,True
87,16,2,Pro Backpack,Brand 1,144.86,357.99,80,True
88,16,8,Pro Serum,Brand 49,144.77,234.17,330,True
89,3,10,Compact Brush,Brand 48,109.85,265.58,467,True
90,14,3,Wireless Mouse,Brand 32,32.02,69.6,446,True
91,2,1,Premium Desk,Brand 39,20.56,50.95,145,True
92,18,9,Eco Backpack,Brand 33,72.86,105.69,57,True
93,6,8,Pro Mug,Brand 46,32.0,69.04,404,True
94,19,4,Smart Set,Brand 41,135.07,307.3,263,True
95,3,7,Pro Blender,Brand 12,147.34,268.26,479,True
96,1,5,Advanced Mat,Brand 29,114.29,278.9,154,False
97,19,1,Premium Keyboard,Brand 45,39.26,81.19,238,True
98,6,7,Pro Vacuum,Brand 46,116.63,244.62,327,True
99,12,10,Compact Mat,Brand 9,74.34,133.18,310,True
100,14,9,Eco Brush,Brand 43,124.71,273.17,348,False
